width,length,flying_time
70,111,1.83
57,127,2.32
59,92,2.05
70,75,1.1
62,112,2.32
68,103.5,0.5
58,108,1.7
79,114,0.86
56,186,3.42
87,68,1.37
50,118,2.68
49,186,1.83
61,116,1.32
60,127,1
56,184,2.79
69,124,1.4
60,95,1.12
44,137,1.28
63,125,1.35
